semester_code,class_number,course_code,assessment_title,learning_outcomes,notes
7520,20355,TOUR7000,Online Quiz,"LO1, LO4","Carried forward from 7460 (scraped): the 7520 profile shows LO1, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60483,TOUR7020,Desk Audit,"LO1, LO3","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60483,TOUR7020,Impact Analysis,"LO1, LO3","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60483,TOUR7020,System Report,"LO2, LO3, LO4","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7620,20389,TOUR7021,Service Experience Oral Pitch,"LO1, LO2, LO3, LO4","Carried forward from 7560 (scraped): the 7620 profile shows LO1, LO2, LO4, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60486,TOUR7023,"Tourism Destination Assessment: Audit, Infographic and Panel Discussion","LO1, LO2","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60486,TOUR7023,Case Study Report,"LO3, LO4, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7620,20392,TOUR7031,Critique of Visitor Site,"LO1, LO2, LO4, LO5","Carried forward from 7560 (scraped): the 7620 profile shows LO1, LO2, LO5, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60488,TOUR7032,Segmentation and Distribution Channel Review,"LO1, LO2","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60488,TOUR7032,Competition Analysis,"LO1, LO2, LO3","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60490,TOUR7051,Destination Market Analysis,"LO1, LO2, LO3, LO6","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
